"date","state","recover"
2020-11-05,"NEGERI SEMBILAN",NA
2020-11-05,"MELAKA",2
2020-11-05,"JOHOR",8
2020-11-05,"PAHANG",NA
2020-11-05,"TERENGGANU",NA
2020-11-05,"KELANTAN",NA
2020-11-05,"SABAH",NA
2020-11-05,"SARAWAK",NA
2020-11-05,"WP LABUAN",NA
2020-11-06,"PERLIS",NA
2020-11-06,"KEDAH",NA
2020-11-06,"PULAU PINANG",NA
2020-11-06,"PERAK",NA
2020-11-06,"SELANGOR",NA
2020-11-06,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-11-06,"NEGERI SEMBILAN",NA
2020-11-06,"MELAKA",NA
2020-11-06,"JOHOR",NA
2020-11-06,"PAHANG",NA
2020-11-06,"TERENGGANU",0
2020-11-06,"KELANTAN",NA
2020-11-06,"SABAH",NA
2020-11-06,"SARAWAK",NA
2020-11-06,"WP LABUAN",NA
2020-11-07,"PERLIS",0
2020-11-07,"KEDAH",10
2020-11-07,"PULAU PINANG",30
2020-11-07,"PERAK",10
2020-11-07,"SELANGOR",41
2020-11-07,"WP KUALA LUMPUR/PUTRAJAYA",6
2020-11-07,"NEGERI SEMBILAN",50
2020-11-07,"MELAKA",0
2020-11-07,"JOHOR",6
2020-11-07,"PAHANG",2
2020-11-07,"TERENGGANU",6
2020-11-07,"KELANTAN",0
2020-11-07,"SABAH",780
2020-11-07,"SARAWAK",5
2020-11-07,"WP LABUAN",83
2020-11-08,"PERLIS",NA
2020-11-08,"KEDAH",NA
2020-11-08,"PULAU PINANG",NA
2020-11-08,"PERAK",NA
2020-11-08,"SELANGOR",NA
2020-11-08,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-11-08,"NEGERI SEMBILAN",NA
2020-11-08,"MELAKA",NA
2020-11-08,"JOHOR",NA
2020-11-08,"PAHANG",NA
2020-11-08,"TERENGGANU",NA
2020-11-08,"KELANTAN",NA
2020-11-08,"SABAH",NA
2020-11-08,"SARAWAK",NA
2020-11-08,"WP LABUAN",NA
